moderator,F1_score,F1_std,F1_ci_lower,F1_ci_upper,R_score,R_std,R_ci_lower,R_ci_upper,P_score,P_std,P_ci_lower,P_ci_upper
aws,0.1746856381128152,0.015714672655100445,0.1737104690412416,0.1756608071843888,0.09727580199365532,0.009583631861598406,0.09668109273117859,0.09787051125613205,0.8618957521429147,0.032465459549739034,0.8598811182563441,0.8639103860294853
azure,0.6618260667014966,0.013514395183239334,0.6609874351567637,0.6626646982462294,0.5462449222946705,0.015837354971561163,0.5452621402105151,0.5472277043788258,0.8398750724056854,0.013860830679883527,0.8390149429151131,0.8407352018962576
modelarmor,0.7126249865478866,0.012224276077180126,0.7118664129387205,0.7133835601570527,0.6882440329085187,0.015219055145431107,0.687299619225706,0.6891884465913313,0.7390329996860295,0.01485968945523418,0.7381108863281525,0.7399551130439066
openai,0.5899746837122637,0.01517939831634007,0.5890327309215139,0.5909166365030135,0.4528179101286363,0.015869779597292313,0.45183311594452413,0.4538027043127485,0.8469476089953567,0.0156030539442805,0.8459793663877948,0.8479158516029186
perspective,0.18598898950385057,0.019565433485863783,0.1847748626794428,0.18720311632825834,0.11135585700009479,0.012819793753503868,0.11056032872873038,0.1121513852714592,0.5680246460121837,0.047720981644766354,0.565063335497707,0.5709859565266604
duoguard,0.3170188191582598,0.018051922295269363,0.3158986127949995,0.3181390255215201,0.20852137457677014,0.013954290742480044,0.20765544545139342,0.20938730370214687,0.6625838782643555,0.028577799347454337,0.6608104919095192,0.6643572646191918
llamaguard3,0.4705024547336377,0.01642531770070795,0.46948318680715617,0.47152172266011927,0.3278028365621034,0.014734893478684164,0.32688846737932054,0.3287172057448863,0.8343409566593045,0.019022436632702217,0.833160525333924,0.835521387984685
llamaguard4,0.6235640826059675,0.01416202658249232,0.6226852624983423,0.6244429027135927,0.5066528525042513,0.016145729500335004,0.505650934335653,0.5076547706728496,0.8111404969125969,0.015473278827518469,0.8101803074591097,0.8121006863660841
polyguard,0.5800009595863207,0.0148444672031968,0.5790797908405086,0.5809221283321327,0.451087168881685,0.015540953641773695,0.45012277988887334,0.45205155787449663,0.8126722162130386,0.016693569108603073,0.8116363020297672,0.8137081303963101
shieldgemma,0.2922901348681495,0.017574988072487936,0.29119952450815556,0.2933807452281434,0.18295593062586749,0.012825976139841743,0.18216001870846238,0.1837518425432726,0.7285764381240443,0.02831875981051456,0.7268191263862416,0.730333749861847
wildguard,0.35772413509372575,0.01763375379000079,0.3566298780456051,0.3588183921418464,0.2267952637565116,0.01351082281333233,0.2259568538940703,0.2276336736189529,0.8483803900081696,0.022271956654956942,0.8469983107393219,0.8497624692770173
