moderator,F1_score,F1_std,F1_ci_lower,F1_ci_upper,R_score,R_std,R_ci_lower,R_ci_upper,P_score,P_std,P_ci_lower,P_ci_upper
aws,0.005885891702128335,0.003257984721926628,0.005683718484383897,0.006088064919872774,0.0029543114304304324,0.0016397914696416865,0.002852554686263967,0.003056068174596898,0.949,0.21999772726098782,0.9353481101929431,0.9626518898070568
azure,0.7361569816337579,0.012339221595701898,0.735391275116574,0.7369226881509418,0.6171364625223632,0.015519131413663761,0.6161734277010569,0.6180994973436695,0.912394228022353,0.01050174499079375,0.9117425455382606,0.9130459105064455
modelarmor,0.6795379978976309,0.013906716642361254,0.6786750209680817,0.6804009748271801,0.5670955572380129,0.01672623298322128,0.5660576161082701,0.5681334983677556,0.8480496015072877,0.014077473362650372,0.8471760283231398,0.8489231746914356
openai,0.6819852259069215,0.013334484995724852,0.6811577586323185,0.6828126931815244,0.5457953045884303,0.015642606574507126,0.5448246075548333,0.5467660016220273,0.909204598457645,0.011593155505065305,0.9084851888371834,0.9099240080781066
perspective,0.5045547992453641,0.020221163915519667,0.5032999812752783,0.5058096172154498,0.4229155940376671,0.021514014252235574,0.42158054864635475,0.42425063942897945,0.6260584781140613,0.02365546209838797,0.6245905458498381,0.6275264103782846
duoguard,0.5815416712177733,0.015557023631807073,0.5805762850067819,0.5825070574287647,0.4644292583110143,0.01666050957153941,0.4633953956269228,0.4654631209951058,0.7782390230063013,0.018050266322122022,0.7771189194039341,0.7793591266086686
llamaguard3,0.5304509491899182,0.015906489931053345,0.5294638769575847,0.5314380214222517,0.3704936514179877,0.014970858075453992,0.3695646395263297,0.3714226633096457,0.9345206322022498,0.012402866786752025,0.9337509762027427,0.9352902882017569
llamaguard4,0.5420476317860912,0.015504316818793835,0.5410855162798125,0.5430097472923698,0.38093101394365364,0.01487006217576884,0.3800082569098646,0.38185377097744266,0.9403660600225022,0.011573352400095773,0.9396478792774943,0.9410842407675102
polyguard,0.7570187907487821,0.011478687193972702,0.7563064844233813,0.7577310970741828,0.657033077583402,0.014795162796463557,0.6561149684070505,0.6579511867597535,0.8931780279740651,0.011518985397159492,0.8924632209563337,0.8938928349917965
shieldgemma,0.31845615862728144,0.01818217509479941,0.3173278694674923,0.31958444778707057,0.20117222223590067,0.013546368710050107,0.2003316065840127,0.20201283788778865,0.7658961083758468,0.027109730159440466,0.7642138225929729,0.7675783941587206
wildguard,0.688185111019885,0.012955149829853189,0.6873811832697531,0.6889890387700169,0.5430643459725814,0.015188316064724835,0.5421218397937589,0.5440068521514038,0.9396147555501296,0.009704043110462064,0.9390125742054569,0.9402169368948023
