moderator,F1_score,F1_std,F1_ci_lower,F1_ci_upper,R_score,R_std,R_ci_lower,R_ci_upper,P_score,P_std,P_ci_lower,P_ci_upper
aws,0.6649945068537528,0.013204858014046687,0.6641750835407486,0.665813930166757,0.5205319538856034,0.015075414548345677,0.5195964537748883,0.5214674539963184,0.9209379331642382,0.011040527528443148,0.9202528166991427,0.9216230496293337
azure,0.6670063448772351,0.013309508640417864,0.6661804275025092,0.667832262251961,0.5198741931989249,0.015109904724507869,0.5189365528111703,0.5208118335866795,0.9307935767204921,0.010867193614005732,0.9301192164369682,0.9314679370040161
modelarmor,0.6236520544901127,0.014738461314177036,0.6227374639064199,0.6245666450738055,0.4982683876148706,0.016350730440428254,0.49725374817737855,0.4992830270523626,0.8339323441090662,0.01629792615738489,0.832920981424759,0.8349437067933735
openai,0.6599718589195447,0.013846404877167767,0.6591126246176251,0.6608310932214643,0.5280362316647568,0.015518407289464905,0.52707324177875,0.5289992215507635,0.8802388425982186,0.013499412610742362,0.8794011407923121,0.8810765444041251
perspective,0.37804249956132424,0.022084534701907143,0.3766720507028554,0.37941294841979306,0.2515113784499116,0.017940938701127212,0.25039805913869717,0.25262469776112606,0.7632940308161983,0.030562034315806244,0.7613975133841617,0.7651905482482348
duoguard,0.42280219043309897,0.018124870267913935,0.421677457306328,0.42392692355986994,0.2950929905929297,0.015818135607862636,0.2941114011603469,0.2960745800255125,0.746716590380131,0.02389353132893021,0.7452338848046455,0.7481992959556166
llamaguard3,0.5475975078394802,0.01559543831438969,0.5466297378174372,0.5485652778615233,0.38520163642676336,0.014956646565547814,0.3842735064258851,0.38612976642764163,0.9477067052061726,0.010987795962259432,0.94702486098184,0.9483885494305052
llamaguard4,0.6053039317026454,0.014613766885306335,0.6043970789925375,0.6062107844127533,0.4552342362027409,0.01541661911583853,0.45427756274985054,0.45619090965563125,0.9036409168284024,0.012761032793294944,0.9028490349499518,0.904432798706853
polyguard,0.6750922096950659,0.013176616802596694,0.6742745388815603,0.6759098805085715,0.5413937351037822,0.015299309548822398,0.5404443412591958,0.5423431289483686,0.896924633692801,0.012234017402645654,0.8961654555887454,0.8976838117968565
shieldgemma,0.41368886810245,0.01768963637708748,0.4125911432779548,0.41478659292694514,0.2786646957281017,0.014814312495300741,0.2777453982232087,0.2795839932329947,0.8040321982701322,0.022153445643917236,0.8026574731648196,0.8054069233754447
wildguard,0.7888930821765233,0.01071732115368503,0.7882280221814109,0.7895581421716358,0.6825239924522027,0.014608209861398663,0.6816174845814664,0.6834305003229391,0.9348059486970656,0.009165866592728868,0.9342371637270205,0.9353747336671107
gptoss,0.817303624962007,0.010200750672319295,0.8166706205857275,0.8179366293382866,0.7099065282673671,0.014343553565281714,0.7090164435598895,0.7107966129748448,0.9632199234903241,0.007069914578795068,0.9627812021636237,0.9636586448170246
qwen3guard,0.7904372989097237,0.010465280068169169,0.7897878792449416,0.7910867185745057,0.6821768254615712,0.014258040002305863,0.6812920472713622,0.6830616036517803,0.9397987105462147,0.008909959108387015,0.9392458058346638,0.9403516152577656
