moderator,F1_score,F1_std,F1_ci_lower,F1_ci_upper,R_score,R_std,R_ci_lower,R_ci_upper,P_score,P_std,P_ci_lower,P_ci_upper
aws,0.18490337960162087,0.015140760369142218,0.18396382447653828,0.18584293472670346,0.10293244526470477,0.009258110865186346,0.10235793610533013,0.10350695442407941,0.9138032717950104,0.025999722884114618,0.9121898671646668,0.9154166764253541
azure,0.7075399478493068,0.012320430040890189,0.7067754074361495,0.7083044882624642,0.5833206468443299,0.015031259891721384,0.5823878867369513,0.5842534069517086,0.8993525669985031,0.011397754881414179,0.8986452829023164,0.9000598510946898
modelarmor,0.7429588826017771,0.011542120652779781,0.742242639933031,0.7436751252705233,0.7173334101209436,0.014357983283958778,0.7164424299818096,0.7182243902600777,0.7707169015264844,0.014896001751441094,0.7697925348204814,0.7716412682324875
openai,0.631795556981451,0.014269754758313354,0.6309100518357404,0.6326810621271615,0.484845296782754,0.01551811656103147,0.4838823249378088,0.4858082686276992,0.9071438625998482,0.012567968803192527,0.9063639612466121,0.9079237639530844
perspective,0.2432420128152717,0.02126201243375216,0.24192260531758647,0.2445614203129569,0.14561431338303596,0.014424983286667609,0.14471917557979583,0.1465094511862761,0.7428780852875453,0.03954345994239002,0.7404242283116373,0.7453319422634532
duoguard,0.36150246714686635,0.01851913837997329,0.36035326783634297,0.3626516664573897,0.23783366886373103,0.014744770815206905,0.23691868674593528,0.23874865098152678,0.7549409995491111,0.02619770463769187,0.7533153092232865,0.7565666898749357
llamaguard3,0.5280891119057222,0.01570304117458028,0.5271146646220157,0.5290635591894286,0.3679839549067822,0.014669077911415244,0.36707366988833656,0.36889423992522785,0.9358442143027994,0.012560573234779415,0.9350647718792363,0.9366236567263625
llamaguard4,0.6591822088536039,0.013274673013519075,0.6583584531927543,0.6600059645144535,0.5352601919765387,0.015407667842717267,0.534304073992088,0.5362163099609895,0.8582326821289011,0.013944163518789365,0.857367381445207,0.8590979828125953
polyguard,0.6306819489890522,0.014029119103465913,0.6298113764132574,0.631552521564847,0.4903888623692077,0.015651669480634137,0.48941760293982,0.4913601217985954,0.8840104055701548,0.013170225637962251,0.8831931313583615,0.884827679781948
shieldgemma,0.296105177732872,0.017734819313161256,0.2950046490954824,0.29720570637026156,0.18529781892086486,0.012848449703529465,0.18450051241352985,0.18609512542819986,0.7387356190876778,0.02946468422605244,0.7369071973704998,0.7405640408048558
wildguard,0.39038800929459055,0.017123222692451052,0.38932543309323864,0.39145058549594247,0.24737999413866882,0.013423401355953414,0.2465470091872835,0.24821297909005413,0.927294133813685,0.015368304612806947,0.9263404585020922,0.9282478091252777
gptoss,0.8156737075801369,0.009802256316444442,0.8150654316458411,0.8162819835144327,0.7149884779571728,0.013940843887100342,0.7141233832721795,0.7158535726421661,0.9495885179343341,0.00781202994565807,0.9491037448718331,0.950073290996835
qwen3guard,0.8428351897760289,0.008853189201218538,0.8422858079032213,0.8433845716488365,0.7923346342090014,0.012635211773428148,0.7915505601143857,0.7931187083036171,0.9003695792384633,0.009961592200833055,0.8997514157659503,0.9009877427109763
