moderator,F1_score,F1_std,F1_ci_lower,F1_ci_upper,R_score,R_std,R_ci_lower,R_ci_upper,P_score,P_std,P_ci_lower,P_ci_upper
aws,0.0056584425663325005,0.0031728864162824453,0.0054615500971934485,0.0058553350354715525,0.0028397885551323227,0.0015965826203369904,0.002740713122526397,0.0029388639877382483,0.943,0.23184261903282585,0.9286130791575823,0.9573869208424176
azure,0.5386057554448246,0.015868637304135774,0.5376210321453552,0.539590478744294,0.37871446980947704,0.015193182779257635,0.37777166162821413,0.37965727799073995,0.9332021688704033,0.011818348505590704,0.9324687849690855,0.9339355527717211
modelarmor,0.7355777303035997,0.011876252801955029,0.7348407531693737,0.7363147074378258,0.698243236574789,0.015434732372390934,0.6972854391094574,0.6992010340401207,0.7773825848763858,0.014141253129032853,0.7765050538588847,0.7782601158938869
openai,0.06859342968987106,0.01102824506515464,0.06790907540917387,0.06927778397056825,0.03582529483263359,0.005965554488723005,0.03545510422415778,0.0361954854411094,0.8214320384445757,0.057156090394174,0.8178852352226598,0.8249788416664916
perspective,0.010309366692488919,0.005748473239362132,0.009952646992700894,0.010666086392276944,0.005208091242571303,0.002919106935827637,0.005026946979314174,0.005389235505828432,0.6048169608169608,0.25107757398629865,0.5892364208915742,0.6203975007423473
duoguard,0.43542815579656996,0.017745060959985792,0.4343269916170062,0.4365293199761337,0.3205042236210209,0.016180062359413334,0.31950017493764526,0.3215082723043965,0.6797863374634315,0.0232122002080478,0.6783459116764702,0.6812267632503929
llamaguard3,0.46835642150062484,0.016425426766406053,0.46733714680610566,0.469375696195144,0.31858369748672544,0.014374305236683158,0.317691704493946,0.31947569047950486,0.8850957286324848,0.0169705292673487,0.8840426277736271,0.8861488294913424
llamaguard4,0.7377260695287821,0.011859527609774217,0.7369901302710992,0.738462008786465,0.6905191224750368,0.014817707532303473,0.6895996142921899,0.6914386306578837,0.792081110633825,0.013836324562333571,0.7912225018626736,0.7929397194049764
polyguard,0.21268052214569638,0.01531113793145392,0.21173039429454416,0.2136306499968486,0.121622600511201,0.009824788505249668,0.12101292634901208,0.12223227467338992,0.8507185345957673,0.028568243511691113,0.8489457412253153,0.8524913279662193
shieldgemma,0.22778201726715758,0.01772965226042199,0.2266818092696014,0.22888222526471375,0.13483999790056822,0.011793578707835844,0.13410815108126348,0.13557184471987296,0.7366483286364289,0.03429361679703939,0.7345202490265736,0.7387764082462842
wildguard,0.02316436805497783,0.0067110605918295875,0.022747915299629815,0.023580820810325843,0.011729573368527486,0.0034377234905005427,0.011516246518001576,0.011942900219053396,1.0,0.0,1.0,1.0
gptoss,0.7667317770391006,0.011048886373952781,0.7660461418684746,0.7674174122097265,0.6447407658811222,0.014532948325807307,0.643838928341318,0.6456426034209264,0.9459622420664106,0.008783384863589486,0.945417191879831,0.9465072922529901
qwen3guard,0.8325867684353345,0.008970957621514546,0.8320300784802269,0.8331434583904421,0.8100729118653025,0.012078482397927793,0.8093233854370709,0.8108224382935341,0.8565296287196263,0.011147939041209887,0.8558378468668718,0.8572214105723809
